"wifiradar","device","signal","timestamp","networks"
"C0A0BBED842E","4C8D79A35362",-55,"2014-12-19 11:46:31","tasid-netgear"
"C0A0BBED842E","A4C36177B923",-70,"2014-12-19 11:46:23","u-hopper-cisco"
"C0A0BBED842E","F8D11121AE96",-73,"2014-12-19 11:46:21","TP1"
"C0A0BBED842E","F8D11121AE96",-74,"2014-12-19 11:46:17","TP1"
"C0A0BBED842E","25D3E11750",-67,"2014-12-19 11:46:06","Alice-56283694"
"C0A0BBED842E","F8D11121AE96",-69,"2014-12-19 11:46:04","TP1"
"C0A0BBED842E","F8D11121AE96",-73,"2014-12-19 11:45:56","TP1"
"C0A0BBED842E","4C8D79A35362",-50,"2014-12-19 11:45:54","tasid-netgear"
"C0A0BBED842E","F8D11121AE96",-73,"2014-12-19 11:45:49","TP1"
"C0A0BBED842E","F8D11121AE96",-71,"2014-12-19 11:45:33","TP1"
"C0A0BBED842E","F8D11121AE96",-74,"2014-12-19 11:45:12","TP1"
"C0A0BBED842E","4C8D79A35362",-44,"2014-12-19 11:45:04","tasid-netgear"
"C0A0BBED842E","F8D11121AE96",-71,"2014-12-19 11:45:02","TP1"
